fitness,archivo
321.0,BCL1
321.0,BCL1
323.0,BCL1
309.0,BCL1
320.0,BCL1
326.0,BCL1
320.0,BCL1
318.0,BCL1
320.0,BCL1
320.0,BCL1
317.0,BCL1
322.0,BCL1
322.0,BCL1
326.0,BCL1
323.0,BCL1
321.0,BCL1
320.0,BCL1
323.0,BCL1
329.0,BCL1
317.0,BCL1
322.0,BCL1
311.0,BCL1
322.0,BCL1
323.0,BCL1
322.0,BCL1
324.0,BCL1
324.0,BCL1
322.0,QL1
321.0,QL1
325.0,QL1
328.0,QL1
333.0,QL1
334.0,QL1
329.0,QL1
327.0,QL1
331.0,QL1
330.0,QL1
322.0,QL1
330.0,QL1
327.0,QL1
337.0,QL2
323.0,QL2
329.0,QL2
331.0,QL2
332.0,QL2
331.0,QL2
329.0,QL2
328.0,QL2
331.0,QL2
330.0,QL2
328.0,QL2
333.0,QL2
327.0,QL2
328.0,QL2
328.0,QL3
331.0,QL3
333.0,QL3
331.0,QL3
332.0,QL3
333.0,QL3
331.0,QL3
329.0,QL3
326.0,QL3
333.0,QL3
329.0,QL3
330.0,QL3
331.0,QL3
336.0,QL3
337.0,QL4
333.0,QL4
330.0,QL4
329.0,QL4
327.0,QL4
334.0,QL4
328.0,QL4
333.0,QL4
330.0,QL4
335.0,QL4
331.0,QL4
331.0,QL4
332.0,QL4
327.0,QL4
321.0,QL5
330.0,QL5
334.0,QL5
328.0,QL5
331.0,QL5
334.0,QL5
331.0,QL5
330.0,QL5
323.0,QL5
331.0,QL5
330.0,QL5
331.0,QL5
