fitness,archivo
259.0,BCL1
258.0,BCL1
263.0,BCL1
261.0,BCL1
259.0,BCL1
264.0,BCL1
260.0,BCL1
257.0,BCL1
262.0,BCL1
257.0,BCL1
260.0,BCL1
257.0,BCL1
262.0,BCL1
265.0,BCL1
261.0,BCL1
259.0,BCL1
264.0,BCL1
266.0,BCL1
264.0,BCL1
259.0,BCL1
265.0,BCL1
275.0,QL1
272.0,QL1
266.0,QL1
268.0,QL1
270.0,QL1
270.0,QL1
266.0,QL1
265.0,QL1
275.0,QL1
275.0,QL1
272.0,QL1
270.0,QL1
272.0,QL1
269.0,QL2
264.0,QL2
271.0,QL2
273.0,QL2
269.0,QL2
255.0,QL2
270.0,QL2
272.0,QL2
269.0,QL2
271.0,QL2
270.0,QL2
272.0,QL2
270.0,QL3
265.0,QL3
267.0,QL3
263.0,QL3
270.0,QL3
265.0,QL3
269.0,QL3
272.0,QL3
268.0,QL3
273.0,QL3
273.0,QL3
274.0,QL3
262.0,QL4
270.0,QL4
272.0,QL4
273.0,QL4
265.0,QL4
271.0,QL4
268.0,QL4
271.0,QL4
273.0,QL4
272.0,QL4
265.0,QL4
271.0,QL5
268.0,QL5
273.0,QL5
272.0,QL5
271.0,QL5
266.0,QL5
270.0,QL5
264.0,QL5
270.0,QL5
273.0,QL5
271.0,QL5
272.0,QL5
