fitness,archivo
224.0,BCL1
221.0,BCL1
224.0,BCL1
220.0,BCL1
220.0,BCL1
224.0,BCL1
224.0,BCL1
224.0,BCL1
222.0,BCL1
222.0,BCL1
222.0,BCL1
221.0,BCL1
227.0,BCL1
222.0,BCL1
227.0,QL1
222.0,QL1
223.0,QL1
232.0,QL1
231.0,QL1
232.0,QL1
233.0,QL1
221.0,QL1
225.0,QL1
225.0,QL1
233.0,QL1
223.0,QL1
234.0,QL1
229.0,QL1
222.0,QL2
225.0,QL2
226.0,QL2
225.0,QL2
230.0,QL2
233.0,QL2
228.0,QL2
222.0,QL2
234.0,QL2
227.0,QL2
229.0,QL2
224.0,QL3
221.0,QL3
228.0,QL3
226.0,QL3
229.0,QL3
223.0,QL3
230.0,QL3
225.0,QL3
224.0,QL3
229.0,QL3
235.0,QL3
224.0,QL4
230.0,QL4
227.0,QL4
229.0,QL4
230.0,QL4
228.0,QL4
229.0,QL4
222.0,QL4
221.0,QL4
234.0,QL4
231.0,QL4
224.0,QL5
224.0,QL5
231.0,QL5
233.0,QL5
228.0,QL5
235.0,QL5
224.0,QL5
230.0,QL5
229.0,QL5
229.0,QL5
232.0,QL5
