fitness,archivo
73.0,BCL1
72.0,BCL1
74.0,BCL1
73.0,BCL1
76.0,BCL1
74.0,BCL1
74.0,BCL1
74.0,BCL1
73.0,BCL1
73.0,BCL1
76.0,BCL1
74.0,BCL1
75.0,BCL1
75.0,BCL1
74.0,BCL1
73.0,BCL1
75.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
75.0,BCL1
139.0,QL1
78.0,QL1
77.0,QL1
76.0,QL1
79.0,QL1
79.0,QL1
77.0,QL1
78.0,QL1
88.0,QL1
78.0,QL1
78.0,QL1
77.0,QL1
77.0,QL1
77.0,QL1
74.0,QL2
77.0,QL2
75.0,QL2
79.0,QL2
76.0,QL2
75.0,QL2
75.0,QL2
75.0,QL2
77.0,QL2
77.0,QL2
78.0,QL2
77.0,QL2
78.0,QL2
77.0,QL3
77.0,QL3
78.0,QL3
76.0,QL3
79.0,QL3
78.0,QL3
79.0,QL3
76.0,QL3
76.0,QL3
75.0,QL3
79.0,QL3
78.0,QL3
78.0,QL3
77.0,QL3
74.0,QL4
77.0,QL4
77.0,QL4
77.0,QL4
77.0,QL4
77.0,QL4
73.0,QL4
78.0,QL4
76.0,QL4
78.0,QL4
77.0,QL4
79.0,QL4
78.0,QL4
77.0,QL5
78.0,QL5
77.0,QL5
79.0,QL5
74.0,QL5
123.0,QL5
78.0,QL5
79.0,QL5
77.0,QL5
78.0,QL5
77.0,QL5
78.0,QL5
