fitness,archivo
509.0,BCL1
508.0,BCL1
516.0,BCL1
509.0,BCL1
507.0,BCL1
510.0,BCL1
510.0,BCL1
514.0,BCL1
512.0,BCL1
509.0,BCL1
516.0,BCL1
511.0,BCL1
511.0,BCL1
512.0,BCL1
505.0,BCL1
509.0,BCL1
516.0,BCL1
513.0,BCL1
514.0,BCL1
508.0,BCL1
508.0,BCL1
514.0,BCL1
513.0,BCL1
517.0,BCL1
515.0,BCL1
505.0,BCL1
512.0,BCL1
505.0,BCL1
506.0,BCL1
514.0,BCL1
516.0,BCL1
519.0,MIR2
523.0,MIR2
524.0,MIR2
529.0,MIR2
521.0,MIR2
524.0,MIR2
522.0,MIR2
521.0,MIR2
525.0,MIR2
525.0,MIR2
512.0,MIR2
510.0,MIR2
527.0,MIR2
527.0,MIR2
525.0,MIR2
516.0,MIR2
524.0,MIR2
518.0,MIR2
515.0,MIR2
526.0,QL1
521.0,QL1
505.0,QL1
513.0,QL1
513.0,QL1
517.0,QL1
512.0,QL1
523.0,QL1
519.0,QL1
521.0,QL1
522.0,QL1
519.0,QL1
520.0,QL1
528.0,QL1
518.0,QL1
522.0,QL1
526.0,QL1
516.0,QL1
518.0,QL1
518.0,QL1
518.0,QL2
519.0,QL2
525.0,QL2
506.0,QL2
519.0,QL2
515.0,QL2
518.0,QL2
521.0,QL2
524.0,QL2
528.0,QL2
514.0,QL2
512.0,QL2
520.0,QL2
518.0,QL2
518.0,QL2
522.0,QL2
522.0,QL2
523.0,QL2
525.0,QL2
514.0,QL2
509.0,QL2
519.0,QL3
527.0,QL3
524.0,QL3
517.0,QL3
520.0,QL3
522.0,QL3
520.0,QL3
519.0,QL3
520.0,QL3
513.0,QL3
521.0,QL3
521.0,QL3
514.0,QL3
513.0,QL3
523.0,QL3
519.0,QL3
517.0,QL3
517.0,QL3
524.0,QL3
525.0,QL3
516.0,QL4
526.0,QL4
506.0,QL4
521.0,QL4
516.0,QL4
522.0,QL4
518.0,QL4
520.0,QL4
520.0,QL4
518.0,QL4
513.0,QL4
516.0,QL4
522.0,QL4
520.0,QL4
518.0,QL4
515.0,QL4
515.0,QL4
515.0,QL4
512.0,QL4
521.0,QL4
512.0,QL4
522.0,QL5
520.0,QL5
520.0,QL5
517.0,QL5
514.0,QL5
519.0,QL5
518.0,QL5
525.0,QL5
523.0,QL5
524.0,QL5
512.0,QL5
517.0,QL5
522.0,QL5
522.0,QL5
524.0,QL5
526.0,QL5
517.0,QL5
516.0,QL5
521.0,QL5
519.0,QL5
520.0,QL5
