fitness,archivo
244.0,BCL1
243.0,BCL1
241.0,BCL1
242.0,BCL1
245.0,BCL1
245.0,BCL1
243.0,BCL1
243.0,BCL1
243.0,BCL1
242.0,BCL1
243.0,BCL1
245.0,BCL1
242.0,BCL1
247.0,QL1
248.0,QL1
247.0,QL1
249.0,QL1
249.0,QL1
244.0,QL1
248.0,QL1
247.0,QL1
247.0,QL1
248.0,QL1
245.0,QL1
247.0,QL2
244.0,QL2
246.0,QL2
246.0,QL2
248.0,QL2
247.0,QL2
247.0,QL2
246.0,QL2
248.0,QL2
248.0,QL2
246.0,QL2
245.0,QL2
247.0,QL2
247.0,QL3
247.0,QL3
246.0,QL3
247.0,QL3
249.0,QL3
248.0,QL3
248.0,QL3
247.0,QL3
246.0,QL3
249.0,QL3
246.0,QL3
244.0,QL3
246.0,QL3
246.0,QL3
248.0,QL4
247.0,QL4
249.0,QL4
244.0,QL4
248.0,QL4
245.0,QL4
241.0,QL4
246.0,QL4
243.0,QL4
244.0,QL4
242.0,QL4
247.0,QL4
246.0,QL4
249.0,QL4
247.0,QL5
246.0,QL5
247.0,QL5
246.0,QL5
248.0,QL5
249.0,QL5
246.0,QL5
248.0,QL5
246.0,QL5
246.0,QL5
248.0,QL5
246.0,QL5
248.0,QL5
248.0,QL5
