fitness,archivo
81.0,BCL1
81.0,BCL1
81.0,BCL1
82.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
82.0,BCL1
81.0,BCL1
81.0,BCL1
82.0,BCL1
82.0,BCL1
81.0,BCL1
82.0,BCL1
82.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
81.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
82.0,QL2
82.0,QL2
83.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
81.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
82.0,QL2
82.0,QL3
83.0,QL3
83.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL3
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
83.0,QL4
82.0,QL4
82.0,QL4
82.0,QL5
82.0,QL5
82.0,QL5
81.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
82.0,QL5
81.0,QL5
82.0,QL5
