fitness,archivo
237.0,BCL1
241.0,BCL1
238.0,BCL1
241.0,BCL1
240.0,BCL1
237.0,BCL1
242.0,BCL1
239.0,BCL1
241.0,BCL1
240.0,BCL1
238.0,BCL1
252.0,MIR2
251.0,MIR2
246.0,MIR2
251.0,MIR2
248.0,MIR2
249.0,MIR2
253.0,MIR2
251.0,MIR2
245.0,MIR2
251.0,MIR2
250.0,MIR2
243.0,QL1
245.0,QL1
243.0,QL1
243.0,QL1
248.0,QL1
244.0,QL1
244.0,QL1
243.0,QL1
242.0,QL1
244.0,QL1
246.0,QL1
246.0,QL2
247.0,QL2
245.0,QL2
244.0,QL2
246.0,QL2
248.0,QL2
246.0,QL2
247.0,QL2
241.0,QL2
248.0,QL2
244.0,QL2
247.0,QL3
248.0,QL3
246.0,QL3
245.0,QL3
248.0,QL3
248.0,QL3
242.0,QL3
242.0,QL3
244.0,QL3
246.0,QL3
248.0,QL3
245.0,QL4
247.0,QL4
247.0,QL4
247.0,QL4
245.0,QL4
244.0,QL4
247.0,QL4
242.0,QL4
243.0,QL4
244.0,QL4
246.0,QL4
247.0,QL5
242.0,QL5
245.0,QL5
248.0,QL5
243.0,QL5
244.0,QL5
238.0,QL5
247.0,QL5
247.0,QL5
247.0,QL5
245.0,QL5
246.0,QL5
245.0,QL5
246.0,QL5
248.0,QL5
