fitness,archivo
223.0,BCL1
224.0,BCL1
225.0,BCL1
223.0,BCL1
226.0,BCL1
225.0,BCL1
223.0,BCL1
224.0,BCL1
224.0,BCL1
224.0,BCL1
226.0,BCL1
230.0,QL1
228.0,QL1
229.0,QL1
229.0,QL1
227.0,QL1
225.0,QL1
229.0,QL1
228.0,QL1
229.0,QL1
227.0,QL1
227.0,QL1
228.0,QL2
227.0,QL2
227.0,QL2
227.0,QL2
227.0,QL2
225.0,QL2
228.0,QL2
226.0,QL2
228.0,QL2
229.0,QL2
228.0,QL2
230.0,QL3
229.0,QL3
228.0,QL3
227.0,QL3
231.0,QL3
228.0,QL3
227.0,QL3
231.0,QL3
227.0,QL3
231.0,QL3
230.0,QL3
226.0,QL4
231.0,QL4
226.0,QL4
226.0,QL4
230.0,QL4
229.0,QL4
229.0,QL4
228.0,QL4
228.0,QL4
229.0,QL4
228.0,QL4
225.0,QL5
230.0,QL5
227.0,QL5
230.0,QL5
229.0,QL5
227.0,QL5
227.0,QL5
229.0,QL5
228.0,QL5
229.0,QL5
