fitness,archivo
66.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
67.0,BCL1
68.0,BCL1
68.0,BCL1
67.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
68.0,BCL1
67.0,BCL1
68.0,BCL1
67.0,BCL1
68.0,BCL1
68.0,QL1
69.0,QL1
69.0,QL1
68.0,QL1
69.0,QL1
69.0,QL1
68.0,QL1
68.0,QL1
69.0,QL1
67.0,QL1
69.0,QL1
68.0,QL2
68.0,QL2
69.0,QL2
69.0,QL2
70.0,QL2
69.0,QL2
69.0,QL2
69.0,QL2
69.0,QL2
69.0,QL2
68.0,QL2
69.0,QL3
68.0,QL3
68.0,QL3
69.0,QL3
69.0,QL3
69.0,QL3
69.0,QL3
69.0,QL3
70.0,QL3
69.0,QL3
69.0,QL3
68.0,QL4
68.0,QL4
69.0,QL4
69.0,QL4
68.0,QL4
68.0,QL4
68.0,QL4
69.0,QL4
69.0,QL4
69.0,QL4
69.0,QL4
69.0,QL5
67.0,QL5
68.0,QL5
69.0,QL5
69.0,QL5
69.0,QL5
69.0,QL5
68.0,QL5
69.0,QL5
68.0,QL5
69.0,QL5
68.0,QL5
69.0,QL5
69.0,QL5
