fitness,archivo
75.0,BCL1
77.0,BCL1
75.0,BCL1
76.0,BCL1
75.0,BCL1
75.0,BCL1
76.0,BCL1
75.0,BCL1
76.0,BCL1
73.0,BCL1
75.0,BCL1
75.0,BCL1
76.0,BCL1
74.0,BCL1
76.0,BCL1
75.0,BCL1
74.0,BCL1
76.0,BCL1
75.0,BCL1
76.0,BCL1
74.0,BCL1
75.0,BCL1
75.0,BCL1
76.0,BCL1
75.0,BCL1
76.0,BCL1
76.0,BCL1
76.0,BCL1
75.0,BCL1
75.0,BCL1
76.0,BCL1
77.0,QL1
78.0,QL1
76.0,QL1
77.0,QL1
76.0,QL1
78.0,QL1
77.0,QL1
76.0,QL1
77.0,QL1
76.0,QL1
77.0,QL1
75.0,QL2
77.0,QL2
77.0,QL2
77.0,QL2
77.0,QL2
78.0,QL2
77.0,QL2
76.0,QL2
78.0,QL2
77.0,QL2
78.0,QL2
77.0,QL3
76.0,QL3
77.0,QL3
76.0,QL3
77.0,QL3
76.0,QL3
77.0,QL3
77.0,QL3
77.0,QL3
78.0,QL3
78.0,QL3
78.0,QL4
77.0,QL4
77.0,QL4
76.0,QL4
77.0,QL4
77.0,QL4
77.0,QL4
77.0,QL4
78.0,QL4
78.0,QL4
75.0,QL4
76.0,QL5
78.0,QL5
76.0,QL5
76.0,QL5
77.0,QL5
76.0,QL5
78.0,QL5
78.0,QL5
78.0,QL5
77.0,QL5
78.0,QL5
