fitness,archivo
601.0,BCL1
590.0,BCL1
579.0,BCL1
569.0,BCL1
581.0,BCL1
570.0,BCL1
574.0,BCL1
632.0,BCL1
598.0,BCL1
631.0,BCL1
572.0,BCL1
557.0,BCL1
593.0,BCL1
636.0,BCL1
605.0,BCL1
616.0,BCL1
571.0,BCL1
630.0,BCL1
571.0,BCL1
556.0,BCL1
588.0,BCL1
589.0,BCL1
592.0,BCL1
584.0,BCL1
604.0,BCL1
618.0,BCL1
601.0,BCL1
592.0,BCL1
587.0,BCL1
582.0,BCL1
585.0,BCL1
553.0,QL1
552.0,QL1
550.0,QL1
549.0,QL1
549.0,QL1
556.0,QL1
536.0,QL1
551.0,QL1
553.0,QL1
558.0,QL1
555.0,QL1
556.0,QL1
536.0,QL1
552.0,QL1
539.0,QL1
548.0,QL1
550.0,QL1
554.0,QL1
549.0,QL1
548.0,QL1
543.0,QL2
560.0,QL2
549.0,QL2
559.0,QL2
558.0,QL2
553.0,QL2
537.0,QL2
557.0,QL2
556.0,QL2
558.0,QL2
547.0,QL2
556.0,QL2
559.0,QL2
534.0,QL2
557.0,QL2
559.0,QL2
552.0,QL2
554.0,QL2
556.0,QL2
547.0,QL2
547.0,QL2
558.0,QL3
556.0,QL3
542.0,QL3
556.0,QL3
554.0,QL3
558.0,QL3
535.0,QL3
556.0,QL3
555.0,QL3
557.0,QL3
558.0,QL3
554.0,QL3
548.0,QL3
542.0,QL3
565.0,QL3
557.0,QL3
540.0,QL3
552.0,QL3
562.0,QL3
554.0,QL3
537.0,QL3
539.0,QL4
556.0,QL4
560.0,QL4
550.0,QL4
553.0,QL4
550.0,QL4
547.0,QL4
549.0,QL4
550.0,QL4
545.0,QL4
543.0,QL4
559.0,QL4
557.0,QL4
552.0,QL4
558.0,QL4
535.0,QL4
557.0,QL4
556.0,QL4
551.0,QL4
543.0,QL4
538.0,QL4
548.0,QL5
540.0,QL5
553.0,QL5
541.0,QL5
550.0,QL5
537.0,QL5
550.0,QL5
555.0,QL5
561.0,QL5
539.0,QL5
555.0,QL5
547.0,QL5
557.0,QL5
538.0,QL5
527.0,QL5
549.0,QL5
547.0,QL5
546.0,QL5
536.0,QL5
543.0,QL5
549.0,QL5
