fitness,archivo
291.0,BCL1
306.0,BCL1
269.0,BCL1
286.0,BCL1
264.0,BCL1
300.0,BCL1
285.0,BCL1
278.0,BCL1
297.0,BCL1
291.0,BCL1
308.0,BCL1
308.0,BCL1
306.0,BCL1
267.0,BCL1
266.0,BCL1
250.0,QL1
251.0,QL1
253.0,QL1
250.0,QL1
249.0,QL1
252.0,QL1
246.0,QL1
247.0,QL1
249.0,QL1
256.0,QL2
253.0,QL2
253.0,QL2
250.0,QL2
250.0,QL2
249.0,QL2
253.0,QL2
248.0,QL2
252.0,QL2
248.0,QL2
251.0,QL2
255.0,QL2
249.0,QL2
247.0,QL2
250.0,QL3
249.0,QL3
251.0,QL3
252.0,QL3
251.0,QL3
245.0,QL3
252.0,QL3
253.0,QL3
248.0,QL3
246.0,QL3
248.0,QL3
252.0,QL3
249.0,QL3
248.0,QL3
247.0,QL4
255.0,QL4
252.0,QL4
250.0,QL4
256.0,QL4
254.0,QL4
248.0,QL4
252.0,QL4
247.0,QL4
251.0,QL4
253.0,QL4
248.0,QL4
251.0,QL4
254.0,QL4
251.0,QL5
248.0,QL5
257.0,QL5
255.0,QL5
248.0,QL5
251.0,QL5
250.0,QL5
249.0,QL5
253.0,QL5
250.0,QL5
251.0,QL5
256.0,QL5
250.0,QL5
244.0,QL5
