fitness,archivo
94.0,BCL1
101.0,BCL1
96.0,BCL1
155.0,BCL1
102.0,BCL1
122.0,BCL1
115.0,BCL1
155.0,BCL1
95.0,BCL1
147.0,BCL1
99.0,BCL1
117.0,BCL1
121.0,BCL1
94.0,BCL1
107.0,BCL1
133.0,BCL1
116.0,BCL1
121.0,BCL1
108.0,BCL1
104.0,BCL1
104.0,BCL1
105.0,BCL1
107.0,BCL1
102.0,BCL1
115.0,BCL1
136.0,BCL1
111.0,BCL1
115.0,BCL1
86.0,QL1
84.0,QL1
86.0,QL1
84.0,QL1
83.0,QL1
83.0,QL1
83.0,QL1
83.0,QL1
84.0,QL1
84.0,QL1
86.0,QL1
84.0,QL1
84.0,QL1
82.0,QL1
85.0,QL2
85.0,QL2
86.0,QL2
85.0,QL2
84.0,QL2
84.0,QL2
85.0,QL2
83.0,QL2
84.0,QL2
86.0,QL2
87.0,QL2
85.0,QL2
85.0,QL2
86.0,QL2
84.0,QL3
86.0,QL3
86.0,QL3
85.0,QL3
84.0,QL3
84.0,QL3
84.0,QL3
83.0,QL3
85.0,QL3
85.0,QL3
84.0,QL3
83.0,QL3
82.0,QL3
85.0,QL3
84.0,QL4
85.0,QL4
85.0,QL4
85.0,QL4
84.0,QL4
84.0,QL4
84.0,QL4
87.0,QL4
84.0,QL4
84.0,QL4
85.0,QL4
83.0,QL4
85.0,QL4
83.0,QL4
84.0,QL5
85.0,QL5
84.0,QL5
84.0,QL5
86.0,QL5
86.0,QL5
85.0,QL5
85.0,QL5
85.0,QL5
84.0,QL5
85.0,QL5
85.0,QL5
87.0,QL5
81.0,QL5
