fitness,archivo
296.0,BCL1
279.0,BCL1
373.0,BCL1
342.0,BCL1
289.0,BCL1
287.0,BCL1
317.0,BCL1
317.0,BCL1
312.0,BCL1
317.0,BCL1
327.0,BCL1
288.0,BCL1
318.0,BCL1
298.0,BCL1
322.0,BCL1
350.0,BCL1
299.0,BCL1
281.0,BCL1
295.0,BCL1
321.0,BCL1
302.0,BCL1
319.0,BCL1
335.0,BCL1
297.0,BCL1
273.0,BCL1
286.0,BCL1
330.0,BCL1
315.0,BCL1
256.0,QL1
261.0,QL1
265.0,QL1
261.0,QL1
266.0,QL1
261.0,QL1
264.0,QL1
263.0,QL1
261.0,QL1
258.0,QL1
262.0,QL1
263.0,QL1
259.0,QL2
262.0,QL2
264.0,QL2
263.0,QL2
262.0,QL2
264.0,QL2
265.0,QL2
263.0,QL2
266.0,QL2
263.0,QL2
261.0,QL2
266.0,QL2
264.0,QL2
264.0,QL3
260.0,QL3
263.0,QL3
260.0,QL3
262.0,QL3
264.0,QL3
264.0,QL3
263.0,QL3
263.0,QL3
266.0,QL3
260.0,QL3
263.0,QL4
265.0,QL4
261.0,QL4
259.0,QL4
263.0,QL4
261.0,QL4
264.0,QL4
265.0,QL4
264.0,QL4
264.0,QL4
256.0,QL4
262.0,QL4
261.0,QL4
256.0,QL5
264.0,QL5
262.0,QL5
267.0,QL5
260.0,QL5
263.0,QL5
265.0,QL5
263.0,QL5
267.0,QL5
264.0,QL5
266.0,QL5
263.0,QL5
260.0,QL5
258.0,QL5
