fitness,archivo
107.0,BCL1
138.0,BCL1
89.0,BCL1
156.0,BCL1
108.0,BCL1
105.0,BCL1
155.0,BCL1
114.0,BCL1
97.0,BCL1
81.0,BCL1
131.0,BCL1
104.0,BCL1
98.0,BCL1
124.0,BCL1
83.0,BCL1
143.0,BCL1
102.0,BCL1
104.0,BCL1
102.0,BCL1
101.0,BCL1
90.0,BCL1
119.0,BCL1
90.0,BCL1
124.0,BCL1
89.0,BCL1
118.0,BCL1
109.0,BCL1
124.0,BCL1
78.0,QL1
80.0,QL1
77.0,QL1
79.0,QL1
78.0,QL1
80.0,QL1
75.0,QL1
79.0,QL1
80.0,QL1
78.0,QL1
79.0,QL1
79.0,QL1
78.0,QL1
77.0,QL1
79.0,QL2
79.0,QL2
79.0,QL2
79.0,QL2
78.0,QL2
79.0,QL2
78.0,QL2
80.0,QL2
76.0,QL2
80.0,QL2
80.0,QL2
79.0,QL2
78.0,QL2
78.0,QL2
78.0,QL3
80.0,QL3
79.0,QL3
80.0,QL3
79.0,QL3
79.0,QL3
80.0,QL3
79.0,QL3
78.0,QL3
79.0,QL3
79.0,QL3
79.0,QL3
75.0,QL3
78.0,QL3
77.0,QL4
80.0,QL4
78.0,QL4
79.0,QL4
79.0,QL4
79.0,QL4
80.0,QL4
78.0,QL4
79.0,QL4
78.0,QL4
80.0,QL4
80.0,QL4
79.0,QL4
75.0,QL4
80.0,QL5
78.0,QL5
80.0,QL5
79.0,QL5
76.0,QL5
77.0,QL5
78.0,QL5
79.0,QL5
80.0,QL5
79.0,QL5
79.0,QL5
78.0,QL5
79.0,QL5
77.0,QL5
