fitness,archivo
291.0,BCL1
292.0,BCL1
294.0,BCL1
299.0,BCL1
300.0,BCL1
295.0,BCL1
306.0,BCL1
293.0,BCL1
313.0,BCL1
289.0,BCL1
306.0,BCL1
297.0,BCL1
299.0,BCL1
319.0,BCL1
290.0,BCL1
296.0,BCL1
287.0,BCL1
296.0,BCL1
305.0,BCL1
304.0,BCL1
305.0,BCL1
288.0,BCL1
291.0,BCL1
304.0,BCL1
297.0,BCL1
295.0,BCL1
301.0,BCL1
316.0,BCL1
280.0,QL1
276.0,QL1
279.0,QL1
276.0,QL1
279.0,QL1
276.0,QL1
281.0,QL1
279.0,QL1
279.0,QL1
279.0,QL1
278.0,QL1
273.0,QL1
276.0,QL1
280.0,QL1
278.0,QL2
280.0,QL2
277.0,QL2
278.0,QL2
279.0,QL2
280.0,QL2
274.0,QL2
283.0,QL2
279.0,QL2
272.0,QL2
278.0,QL2
280.0,QL2
279.0,QL2
279.0,QL2
280.0,QL3
279.0,QL3
282.0,QL3
280.0,QL3
279.0,QL3
278.0,QL3
278.0,QL3
281.0,QL3
283.0,QL3
278.0,QL3
279.0,QL3
276.0,QL3
280.0,QL3
273.0,QL3
282.0,QL4
275.0,QL4
277.0,QL4
278.0,QL4
274.0,QL4
280.0,QL4
281.0,QL4
278.0,QL4
281.0,QL4
279.0,QL4
284.0,QL4
278.0,QL4
274.0,QL4
273.0,QL4
277.0,QL5
275.0,QL5
277.0,QL5
280.0,QL5
275.0,QL5
272.0,QL5
281.0,QL5
280.0,QL5
276.0,QL5
281.0,QL5
275.0,QL5
279.0,QL5
281.0,QL5
277.0,QL5
