fitness,archivo
284.0,BCL1
290.0,BCL1
292.0,BCL1
292.0,BCL1
346.0,BCL1
288.0,BCL1
303.0,BCL1
315.0,BCL1
338.0,BCL1
309.0,BCL1
288.0,BCL1
633.0,MIR2
626.0,MIR2
622.0,MIR2
583.0,MIR2
669.0,MIR2
640.0,MIR2
597.0,MIR2
605.0,MIR2
612.0,MIR2
703.0,MIR2
594.0,MIR2
269.0,QL1
270.0,QL1
276.0,QL1
268.0,QL1
267.0,QL1
265.0,QL1
272.0,QL1
266.0,QL1
271.0,QL1
266.0,QL1
265.0,QL2
266.0,QL2
267.0,QL2
267.0,QL2
267.0,QL2
265.0,QL2
268.0,QL2
268.0,QL2
265.0,QL2
268.0,QL2
266.0,QL2
268.0,QL3
267.0,QL3
266.0,QL3
266.0,QL3
269.0,QL3
267.0,QL3
269.0,QL3
267.0,QL3
267.0,QL3
269.0,QL3
267.0,QL3
267.0,QL4
266.0,QL4
265.0,QL4
264.0,QL4
268.0,QL4
265.0,QL4
265.0,QL4
268.0,QL4
267.0,QL4
267.0,QL4
266.0,QL4
265.0,QL5
269.0,QL5
268.0,QL5
267.0,QL5
268.0,QL5
266.0,QL5
265.0,QL5
266.0,QL5
269.0,QL5
269.0,QL5
