fitness,archivo
337.0,BCL1
312.0,BCL1
284.0,BCL1
300.0,BCL1
283.0,BCL1
295.0,BCL1
321.0,BCL1
325.0,BCL1
287.0,BCL1
282.0,BCL1
282.0,BCL1
283.0,BCL1
273.0,BCL1
305.0,BCL1
315.0,BCL1
279.0,BCL1
251.0,QL1
248.0,QL1
250.0,QL1
252.0,QL1
249.0,QL1
252.0,QL1
245.0,QL1
250.0,QL1
245.0,QL1
248.0,QL1
251.0,QL1
245.0,QL1
247.0,QL1
251.0,QL2
248.0,QL2
254.0,QL2
251.0,QL2
250.0,QL2
251.0,QL2
252.0,QL2
251.0,QL2
246.0,QL2
245.0,QL2
251.0,QL2
257.0,QL2
246.0,QL3
249.0,QL3
248.0,QL3
254.0,QL3
248.0,QL3
246.0,QL3
247.0,QL3
248.0,QL3
241.0,QL3
248.0,QL3
246.0,QL3
252.0,QL3
250.0,QL4
251.0,QL4
250.0,QL4
249.0,QL4
251.0,QL4
250.0,QL4
249.0,QL4
251.0,QL4
253.0,QL4
252.0,QL4
248.0,QL4
251.0,QL5
253.0,QL5
248.0,QL5
247.0,QL5
249.0,QL5
251.0,QL5
246.0,QL5
252.0,QL5
251.0,QL5
256.0,QL5
