fitness,archivo
98.0,BCL1
118.0,BCL1
90.0,BCL1
101.0,BCL1
114.0,BCL1
124.0,BCL1
78.0,BCL1
108.0,BCL1
114.0,BCL1
121.0,BCL1
85.0,BCL1
549.0,MIR2
622.0,MIR2
559.0,MIR2
620.0,MIR2
612.0,MIR2
606.0,MIR2
626.0,MIR2
571.0,MIR2
491.0,MIR2
599.0,MIR2
641.0,MIR2
72.0,QL1
71.0,QL1
72.0,QL1
73.0,QL1
71.0,QL1
71.0,QL1
72.0,QL1
72.0,QL1
71.0,QL1
73.0,QL1
71.0,QL1
72.0,QL2
72.0,QL2
73.0,QL2
71.0,QL2
72.0,QL2
72.0,QL2
73.0,QL2
72.0,QL2
72.0,QL2
72.0,QL2
71.0,QL2
73.0,QL3
72.0,QL3
70.0,QL3
72.0,QL3
73.0,QL3
72.0,QL3
72.0,QL3
71.0,QL3
71.0,QL3
70.0,QL3
73.0,QL3
71.0,QL4
72.0,QL4
71.0,QL4
71.0,QL4
72.0,QL4
72.0,QL4
72.0,QL4
72.0,QL4
72.0,QL4
72.0,QL4
71.0,QL4
72.0,QL5
72.0,QL5
72.0,QL5
72.0,QL5
72.0,QL5
71.0,QL5
71.0,QL5
72.0,QL5
72.0,QL5
72.0,QL5
72.0,QL5
