fitness,archivo
126.0,BCL1
116.0,BCL1
106.0,BCL1
99.0,BCL1
136.0,BCL1
139.0,BCL1
97.0,BCL1
127.0,BCL1
107.0,BCL1
104.0,BCL1
95.0,BCL1
115.0,BCL1
116.0,BCL1
123.0,BCL1
133.0,BCL1
134.0,BCL1
107.0,BCL1
112.0,BCL1
137.0,BCL1
122.0,BCL1
94.0,BCL1
112.0,BCL1
94.0,BCL1
98.0,BCL1
114.0,BCL1
136.0,BCL1
123.0,BCL1
80.0,QL1
80.0,QL1
80.0,QL1
81.0,QL1
79.0,QL1
81.0,QL1
81.0,QL1
80.0,QL1
79.0,QL1
80.0,QL1
77.0,QL1
78.0,QL1
81.0,QL1
81.0,QL1
78.0,QL2
79.0,QL2
78.0,QL2
80.0,QL2
78.0,QL2
80.0,QL2
78.0,QL2
80.0,QL2
82.0,QL2
81.0,QL2
79.0,QL2
80.0,QL2
79.0,QL2
80.0,QL2
80.0,QL3
80.0,QL3
80.0,QL3
78.0,QL3
82.0,QL3
81.0,QL3
79.0,QL3
80.0,QL3
80.0,QL3
79.0,QL3
78.0,QL3
79.0,QL3
80.0,QL3
80.0,QL4
81.0,QL4
81.0,QL4
77.0,QL4
80.0,QL4
78.0,QL4
80.0,QL4
80.0,QL4
81.0,QL4
79.0,QL4
78.0,QL4
80.0,QL4
80.0,QL4
80.0,QL4
80.0,QL5
81.0,QL5
81.0,QL5
81.0,QL5
79.0,QL5
79.0,QL5
79.0,QL5
80.0,QL5
80.0,QL5
78.0,QL5
79.0,QL5
80.0,QL5
80.0,QL5
78.0,QL5
