fitness,archivo
315.0,BCL1
287.0,BCL1
339.0,BCL1
365.0,BCL1
362.0,BCL1
328.0,BCL1
308.0,BCL1
360.0,BCL1
313.0,BCL1
315.0,BCL1
297.0,BCL1
345.0,BCL1
341.0,BCL1
310.0,BCL1
338.0,BCL1
353.0,BCL1
312.0,BCL1
340.0,BCL1
313.0,BCL1
362.0,BCL1
301.0,BCL1
295.0,BCL1
339.0,BCL1
325.0,BCL1
271.0,QL1
261.0,QL1
258.0,QL1
261.0,QL1
259.0,QL1
258.0,QL1
255.0,QL1
263.0,QL1
261.0,QL1
264.0,QL1
263.0,QL1
260.0,QL1
260.0,QL1
266.0,QL1
263.0,QL2
259.0,QL2
263.0,QL2
264.0,QL2
263.0,QL2
262.0,QL2
262.0,QL2
262.0,QL2
261.0,QL2
261.0,QL2
258.0,QL2
258.0,QL2
255.0,QL2
264.0,QL3
262.0,QL3
263.0,QL3
263.0,QL3
262.0,QL3
264.0,QL3
263.0,QL3
261.0,QL3
261.0,QL3
261.0,QL3
261.0,QL3
259.0,QL3
261.0,QL3
263.0,QL4
260.0,QL4
258.0,QL4
260.0,QL4
265.0,QL4
261.0,QL4
262.0,QL4
259.0,QL4
260.0,QL4
264.0,QL4
256.0,QL4
261.0,QL4
260.0,QL4
260.0,QL4
261.0,QL5
258.0,QL5
262.0,QL5
261.0,QL5
259.0,QL5
257.0,QL5
262.0,QL5
262.0,QL5
261.0,QL5
261.0,QL5
263.0,QL5
259.0,QL5
257.0,QL5
261.0,QL5
