fitness,archivo
124.0,BCL1
119.0,BCL1
117.0,BCL1
122.0,BCL1
102.0,BCL1
116.0,BCL1
124.0,BCL1
86.0,BCL1
108.0,BCL1
77.0,BCL1
126.0,BCL1
103.0,BCL1
102.0,BCL1
87.0,BCL1
127.0,BCL1
108.0,BCL1
96.0,BCL1
128.0,BCL1
167.0,BCL1
131.0,BCL1
115.0,BCL1
129.0,BCL1
86.0,BCL1
91.0,BCL1
108.0,BCL1
143.0,BCL1
65.0,QL1
66.0,QL1
65.0,QL1
64.0,QL1
65.0,QL1
66.0,QL1
63.0,QL1
64.0,QL1
66.0,QL1
64.0,QL1
66.0,QL1
64.0,QL1
64.0,QL1
65.0,QL2
65.0,QL2
66.0,QL2
64.0,QL2
64.0,QL2
64.0,QL2
65.0,QL2
64.0,QL2
66.0,QL2
65.0,QL2
67.0,QL2
63.0,QL2
65.0,QL2
65.0,QL2
66.0,QL3
65.0,QL3
65.0,QL3
66.0,QL3
66.0,QL3
65.0,QL3
65.0,QL3
66.0,QL3
65.0,QL3
64.0,QL3
65.0,QL3
65.0,QL3
63.0,QL3
66.0,QL3
65.0,QL4
65.0,QL4
66.0,QL4
67.0,QL4
65.0,QL4
66.0,QL4
66.0,QL4
65.0,QL4
65.0,QL4
66.0,QL4
65.0,QL4
67.0,QL4
66.0,QL4
63.0,QL4
66.0,QL5
66.0,QL5
66.0,QL5
65.0,QL5
66.0,QL5
65.0,QL5
66.0,QL5
65.0,QL5
66.0,QL5
65.0,QL5
65.0,QL5
63.0,QL5
65.0,QL5
65.0,QL5
