fitness,archivo
217.0,BCL1
218.0,BCL1
213.0,BCL1
219.0,BCL1
213.0,BCL1
213.0,BCL1
218.0,BCL1
219.0,BCL1
221.0,BCL1
224.0,BCL1
213.0,BCL1
219.0,BCL1
218.0,BCL1
217.0,BCL1
218.0,BCL1
218.0,QL1
222.0,QL1
227.0,QL1
224.0,QL1
229.0,QL1
219.0,QL1
225.0,QL1
227.0,QL1
221.0,QL1
227.0,QL1
223.0,QL1
219.0,QL2
228.0,QL2
224.0,QL2
228.0,QL2
221.0,QL2
225.0,QL2
229.0,QL2
224.0,QL2
229.0,QL2
222.0,QL2
227.0,QL2
222.0,QL3
229.0,QL3
224.0,QL3
226.0,QL3
220.0,QL3
226.0,QL3
224.0,QL3
227.0,QL3
225.0,QL3
227.0,QL3
228.0,QL3
226.0,QL4
220.0,QL4
225.0,QL4
228.0,QL4
226.0,QL4
216.0,QL4
228.0,QL4
227.0,QL4
224.0,QL4
229.0,QL4
225.0,QL4
218.0,QL5
225.0,QL5
222.0,QL5
230.0,QL5
221.0,QL5
223.0,QL5
224.0,QL5
227.0,QL5
223.0,QL5
227.0,QL5
224.0,QL5
