fitness,archivo
256.0,BCL1
262.0,BCL1
261.0,BCL1
260.0,BCL1
262.0,BCL1
258.0,BCL1
260.0,BCL1
258.0,BCL1
260.0,BCL1
260.0,BCL1
260.0,BCL1
260.0,BCL1
260.0,BCL1
259.0,BCL1
260.0,BCL1
261.0,BCL1
258.0,BCL1
266.0,MIR2
267.0,MIR2
267.0,MIR2
267.0,MIR2
267.0,MIR2
268.0,MIR2
268.0,MIR2
265.0,MIR2
265.0,MIR2
265.0,MIR2
265.0,MIR2
264.0,MIR2
265.0,MIR2
267.0,MIR2
266.0,MIR2
264.0,MIR2
262.0,QL1
261.0,QL1
287.0,QL1
264.0,QL1
261.0,QL1
262.0,QL1
262.0,QL1
263.0,QL1
265.0,QL1
263.0,QL1
265.0,QL2
267.0,QL2
268.0,QL2
265.0,QL2
264.0,QL2
263.0,QL2
264.0,QL2
269.0,QL2
267.0,QL2
267.0,QL2
263.0,QL3
268.0,QL3
265.0,QL3
268.0,QL3
265.0,QL3
266.0,QL3
265.0,QL3
270.0,QL3
266.0,QL3
264.0,QL3
266.0,QL3
263.0,QL4
262.0,QL4
267.0,QL4
269.0,QL4
267.0,QL4
266.0,QL4
268.0,QL4
266.0,QL4
267.0,QL4
269.0,QL4
267.0,QL5
268.0,QL5
269.0,QL5
265.0,QL5
268.0,QL5
267.0,QL5
269.0,QL5
267.0,QL5
268.0,QL5
266.0,QL5
