fitness,archivo
73.0,BCL1
72.0,BCL1
72.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
73.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
73.0,BCL1
73.0,BCL1
73.0,BCL1
72.0,BCL1
72.0,BCL1
72.0,BCL1
73.0,BCL1
73.0,BCL1
72.0,QL1
73.0,QL1
73.0,QL1
74.0,QL1
74.0,QL1
75.0,QL1
73.0,QL1
74.0,QL1
73.0,QL1
73.0,QL1
75.0,QL1
74.0,QL1
74.0,QL1
73.0,QL2
73.0,QL2
74.0,QL2
75.0,QL2
75.0,QL2
74.0,QL2
75.0,QL2
73.0,QL2
72.0,QL2
74.0,QL2
74.0,QL2
75.0,QL2
74.0,QL2
74.0,QL3
74.0,QL3
74.0,QL3
74.0,QL3
75.0,QL3
73.0,QL3
81.0,QL3
74.0,QL3
75.0,QL3
74.0,QL3
75.0,QL3
75.0,QL3
75.0,QL3
83.0,QL4
75.0,QL4
75.0,QL4
74.0,QL4
74.0,QL4
74.0,QL4
73.0,QL4
74.0,QL4
74.0,QL4
74.0,QL4
73.0,QL4
75.0,QL4
74.0,QL4
73.0,QL5
72.0,QL5
75.0,QL5
74.0,QL5
74.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
74.0,QL5
74.0,QL5
74.0,QL5
73.0,QL5
