fitness,archivo
226.0,BCL1
227.0,BCL1
228.0,BCL1
222.0,BCL1
226.0,BCL1
233.0,BCL1
234.0,BCL1
227.0,BCL1
228.0,BCL1
228.0,BCL1
226.0,BCL1
231.0,BCL1
231.0,BCL1
228.0,BCL1
229.0,QL1
238.0,QL1
238.0,QL1
230.0,QL1
245.0,QL1
241.0,QL1
243.0,QL1
239.0,QL1
234.0,QL1
238.0,QL1
231.0,QL1
240.0,QL2
233.0,QL2
236.0,QL2
230.0,QL2
240.0,QL2
239.0,QL2
235.0,QL2
241.0,QL2
236.0,QL2
233.0,QL2
244.0,QL2
247.0,QL3
239.0,QL3
241.0,QL3
241.0,QL3
243.0,QL3
237.0,QL3
235.0,QL3
241.0,QL3
236.0,QL3
240.0,QL3
240.0,QL3
230.0,QL4
238.0,QL4
243.0,QL4
242.0,QL4
233.0,QL4
234.0,QL4
231.0,QL4
240.0,QL4
233.0,QL4
238.0,QL4
241.0,QL4
238.0,QL4
227.0,QL5
235.0,QL5
242.0,QL5
241.0,QL5
235.0,QL5
226.0,QL5
234.0,QL5
244.0,QL5
238.0,QL5
236.0,QL5
240.0,QL5
