fitness,archivo
524.0,BCL1
531.0,BCL1
530.0,BCL1
539.0,BCL1
533.0,BCL1
535.0,BCL1
534.0,BCL1
537.0,BCL1
533.0,BCL1
536.0,BCL1
538.0,BCL1
533.0,BCL1
535.0,BCL1
528.0,BCL1
532.0,BCL1
537.0,BCL1
535.0,BCL1
538.0,BCL1
538.0,BCL1
538.0,BCL1
535.0,BCL1
533.0,BCL1
538.0,BCL1
541.0,BCL1
536.0,BCL1
537.0,BCL1
538.0,BCL1
540.0,BCL1
538.0,BCL1
533.0,BCL1
540.0,BCL1
546.0,MIR2
545.0,MIR2
546.0,MIR2
547.0,MIR2
542.0,MIR2
545.0,MIR2
543.0,MIR2
545.0,MIR2
539.0,MIR2
542.0,MIR2
539.0,MIR2
541.0,MIR2
544.0,MIR2
547.0,MIR2
549.0,MIR2
549.0,MIR2
544.0,MIR2
542.0,MIR2
544.0,MIR2
546.0,MIR2
542.0,MIR2
545.0,MIR2
546.0,MIR2
548.0,MIR2
537.0,MIR2
543.0,MIR2
544.0,MIR2
538.0,MIR2
547.0,MIR2
543.0,MIR2
549.0,MIR2
550.0,QL1
543.0,QL1
540.0,QL1
538.0,QL1
543.0,QL1
541.0,QL1
536.0,QL1
541.0,QL1
545.0,QL1
545.0,QL1
544.0,QL1
549.0,QL1
538.0,QL1
551.0,QL1
542.0,QL1
544.0,QL1
541.0,QL1
542.0,QL1
541.0,QL1
542.0,QL2
547.0,QL2
541.0,QL2
547.0,QL2
543.0,QL2
531.0,QL2
543.0,QL2
550.0,QL2
540.0,QL2
536.0,QL2
547.0,QL2
542.0,QL2
541.0,QL2
541.0,QL2
536.0,QL2
544.0,QL2
546.0,QL2
540.0,QL2
549.0,QL2
544.0,QL3
541.0,QL3
544.0,QL3
536.0,QL3
545.0,QL3
542.0,QL3
542.0,QL3
543.0,QL3
544.0,QL3
538.0,QL3
544.0,QL3
543.0,QL3
542.0,QL3
537.0,QL3
543.0,QL3
545.0,QL3
549.0,QL3
549.0,QL4
547.0,QL4
540.0,QL4
542.0,QL4
544.0,QL4
533.0,QL4
540.0,QL4
541.0,QL4
537.0,QL4
537.0,QL4
542.0,QL4
543.0,QL4
540.0,QL4
543.0,QL4
539.0,QL4
539.0,QL4
540.0,QL4
538.0,QL4
543.0,QL4
541.0,QL4
543.0,QL4
540.0,QL5
542.0,QL5
541.0,QL5
538.0,QL5
544.0,QL5
544.0,QL5
541.0,QL5
543.0,QL5
545.0,QL5
538.0,QL5
540.0,QL5
530.0,QL5
551.0,QL5
547.0,QL5
546.0,QL5
544.0,QL5
541.0,QL5
543.0,QL5
541.0,QL5
537.0,QL5
547.0,QL5
