fitness,archivo
234.0,BCL1
235.0,BCL1
235.0,BCL1
231.0,BCL1
234.0,BCL1
232.0,BCL1
232.0,BCL1
232.0,BCL1
232.0,BCL1
233.0,BCL1
230.0,BCL1
239.0,QL1
241.0,QL1
238.0,QL1
237.0,QL1
240.0,QL1
237.0,QL1
238.0,QL1
236.0,QL1
238.0,QL1
238.0,QL1
239.0,QL1
237.0,QL2
240.0,QL2
238.0,QL2
235.0,QL2
238.0,QL2
234.0,QL2
234.0,QL2
234.0,QL2
238.0,QL2
237.0,QL2
237.0,QL2
238.0,QL3
238.0,QL3
237.0,QL3
239.0,QL3
233.0,QL3
234.0,QL3
235.0,QL3
240.0,QL3
235.0,QL3
237.0,QL3
238.0,QL3
239.0,QL4
235.0,QL4
238.0,QL4
233.0,QL4
238.0,QL4
238.0,QL4
240.0,QL4
238.0,QL4
236.0,QL4
237.0,QL4
240.0,QL4
237.0,QL5
238.0,QL5
238.0,QL5
236.0,QL5
236.0,QL5
237.0,QL5
232.0,QL5
236.0,QL5
237.0,QL5
238.0,QL5
240.0,QL5
