fitness,archivo
62.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
62.0,BCL1
63.0,BCL1
62.0,BCL1
62.0,BCL1
62.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
62.0,BCL1
63.0,BCL1
62.0,BCL1
63.0,BCL1
62.0,BCL1
63.0,BCL1
62.0,BCL1
62.0,BCL1
63.0,BCL1
62.0,BCL1
63.0,BCL1
63.0,BCL1
63.0,BCL1
62.0,BCL1
62.0,BCL1
62.0,QL1
62.0,QL1
63.0,QL1
64.0,QL1
63.0,QL1
63.0,QL1
63.0,QL1
62.0,QL1
63.0,QL1
63.0,QL1
63.0,QL1
63.0,QL2
63.0,QL2
63.0,QL2
62.0,QL2
62.0,QL2
63.0,QL2
63.0,QL2
63.0,QL2
63.0,QL2
63.0,QL2
63.0,QL2
63.0,QL3
62.0,QL3
63.0,QL3
63.0,QL3
62.0,QL3
64.0,QL3
63.0,QL3
63.0,QL3
63.0,QL3
63.0,QL3
63.0,QL3
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL4
63.0,QL5
63.0,QL5
63.0,QL5
63.0,QL5
64.0,QL5
62.0,QL5
63.0,QL5
63.0,QL5
63.0,QL5
64.0,QL5
63.0,QL5
