fitness,archivo
475.0,BCL1
448.0,BCL1
458.0,BCL1
462.0,BCL1
450.0,BCL1
474.0,BCL1
465.0,BCL1
470.0,BCL1
463.0,BCL1
496.0,BCL1
495.0,BCL1
540.0,MIR2
526.0,MIR2
519.0,MIR2
539.0,MIR2
567.0,MIR2
533.0,MIR2
508.0,MIR2
549.0,MIR2
482.0,MIR2
571.0,MIR2
442.0,QL1
442.0,QL1
443.0,QL1
438.0,QL1
440.0,QL1
440.0,QL1
443.0,QL1
435.0,QL1
439.0,QL1
442.0,QL1
445.0,QL2
441.0,QL2
446.0,QL2
437.0,QL2
435.0,QL2
447.0,QL2
442.0,QL2
447.0,QL2
446.0,QL2
444.0,QL2
446.0,QL3
444.0,QL3
448.0,QL3
447.0,QL3
442.0,QL3
440.0,QL3
445.0,QL3
445.0,QL3
447.0,QL3
449.0,QL3
445.0,QL3
448.0,QL4
444.0,QL4
444.0,QL4
446.0,QL4
447.0,QL4
447.0,QL4
445.0,QL4
445.0,QL4
444.0,QL4
441.0,QL4
443.0,QL4
438.0,QL5
448.0,QL5
443.0,QL5
443.0,QL5
446.0,QL5
447.0,QL5
440.0,QL5
444.0,QL5
446.0,QL5
446.0,QL5
445.0,QL5
