fitness,archivo
633.0,BCL1
583.0,BCL1
564.0,BCL1
590.0,BCL1
593.0,BCL1
592.0,BCL1
619.0,BCL1
608.0,BCL1
574.0,BCL1
586.0,BCL1
595.0,BCL1
594.0,BCL1
593.0,BCL1
612.0,BCL1
620.0,BCL1
562.0,BCL1
580.0,BCL1
595.0,BCL1
600.0,BCL1
597.0,BCL1
593.0,BCL1
585.0,BCL1
563.0,BCL1
594.0,BCL1
598.0,BCL1
579.0,BCL1
596.0,BCL1
570.0,BCL1
578.0,BCL1
564.0,BCL1
626.0,BCL1
563.0,QL1
540.0,QL1
568.0,QL1
553.0,QL1
540.0,QL1
542.0,QL1
544.0,QL1
556.0,QL1
546.0,QL1
545.0,QL1
560.0,QL1
549.0,QL1
566.0,QL1
538.0,QL1
548.0,QL1
550.0,QL1
555.0,QL1
546.0,QL1
559.0,QL1
560.0,QL1
537.0,QL1
552.0,QL2
547.0,QL2
558.0,QL2
546.0,QL2
537.0,QL2
557.0,QL2
549.0,QL2
554.0,QL2
546.0,QL2
545.0,QL2
552.0,QL2
555.0,QL2
548.0,QL2
543.0,QL2
549.0,QL2
565.0,QL2
553.0,QL2
563.0,QL2
563.0,QL2
565.0,QL2
544.0,QL2
544.0,QL3
549.0,QL3
558.0,QL3
542.0,QL3
556.0,QL3
551.0,QL3
537.0,QL3
547.0,QL3
557.0,QL3
551.0,QL3
545.0,QL3
557.0,QL3
557.0,QL3
549.0,QL3
556.0,QL3
551.0,QL3
551.0,QL3
545.0,QL3
550.0,QL3
559.0,QL3
527.0,QL3
550.0,QL4
560.0,QL4
562.0,QL4
558.0,QL4
563.0,QL4
555.0,QL4
532.0,QL4
539.0,QL4
552.0,QL4
560.0,QL4
539.0,QL4
541.0,QL4
556.0,QL4
553.0,QL4
554.0,QL4
545.0,QL4
563.0,QL4
551.0,QL4
556.0,QL4
537.0,QL4
534.0,QL4
549.0,QL5
553.0,QL5
557.0,QL5
549.0,QL5
558.0,QL5
552.0,QL5
540.0,QL5
540.0,QL5
552.0,QL5
557.0,QL5
560.0,QL5
551.0,QL5
546.0,QL5
548.0,QL5
559.0,QL5
556.0,QL5
560.0,QL5
563.0,QL5
548.0,QL5
549.0,QL5
531.0,QL5
