fitness,archivo
297.0,BCL1
312.0,BCL1
298.0,BCL1
277.0,BCL1
291.0,BCL1
277.0,BCL1
282.0,BCL1
302.0,BCL1
253.0,BCL1
301.0,BCL1
278.0,BCL1
283.0,BCL1
292.0,BCL1
294.0,BCL1
299.0,BCL1
324.0,BCL1
271.0,BCL1
295.0,BCL1
298.0,BCL1
280.0,BCL1
274.0,BCL1
255.0,QL1
255.0,QL1
252.0,QL1
248.0,QL1
251.0,QL1
252.0,QL1
253.0,QL1
250.0,QL1
254.0,QL1
252.0,QL1
253.0,QL1
255.0,QL1
248.0,QL1
248.0,QL1
254.0,QL2
255.0,QL2
256.0,QL2
248.0,QL2
252.0,QL2
255.0,QL2
252.0,QL2
252.0,QL2
253.0,QL2
258.0,QL2
255.0,QL2
247.0,QL2
254.0,QL3
249.0,QL3
249.0,QL3
251.0,QL3
258.0,QL3
254.0,QL3
255.0,QL3
250.0,QL3
256.0,QL3
249.0,QL3
251.0,QL3
250.0,QL3
256.0,QL4
253.0,QL4
251.0,QL4
253.0,QL4
250.0,QL4
254.0,QL4
250.0,QL4
252.0,QL4
253.0,QL4
254.0,QL4
253.0,QL4
248.0,QL4
247.0,QL5
252.0,QL5
254.0,QL5
248.0,QL5
252.0,QL5
253.0,QL5
253.0,QL5
252.0,QL5
253.0,QL5
254.0,QL5
254.0,QL5
245.0,QL5
246.0,QL5
