fitness,archivo
119.0,BCL1
105.0,BCL1
120.0,BCL1
85.0,BCL1
85.0,BCL1
87.0,BCL1
97.0,BCL1
122.0,BCL1
111.0,BCL1
128.0,BCL1
111.0,BCL1
101.0,BCL1
112.0,BCL1
98.0,BCL1
97.0,BCL1
83.0,BCL1
88.0,BCL1
118.0,BCL1
111.0,BCL1
161.0,BCL1
108.0,BCL1
93.0,BCL1
88.0,BCL1
90.0,BCL1
91.0,BCL1
92.0,BCL1
95.0,BCL1
75.0,QL1
75.0,QL1
75.0,QL1
75.0,QL1
75.0,QL1
76.0,QL1
73.0,QL1
75.0,QL1
76.0,QL1
75.0,QL1
76.0,QL1
74.0,QL1
75.0,QL1
75.0,QL1
75.0,QL2
76.0,QL2
75.0,QL2
75.0,QL2
75.0,QL2
76.0,QL2
74.0,QL2
76.0,QL2
75.0,QL2
76.0,QL2
76.0,QL2
75.0,QL2
74.0,QL2
73.0,QL2
75.0,QL3
74.0,QL3
75.0,QL3
75.0,QL3
74.0,QL3
75.0,QL3
74.0,QL3
75.0,QL3
75.0,QL3
75.0,QL3
75.0,QL3
75.0,QL3
75.0,QL3
76.0,QL4
75.0,QL4
76.0,QL4
76.0,QL4
75.0,QL4
75.0,QL4
75.0,QL4
74.0,QL4
74.0,QL4
76.0,QL4
75.0,QL4
76.0,QL4
75.0,QL4
75.0,QL5
76.0,QL5
76.0,QL5
74.0,QL5
76.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
74.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
75.0,QL5
73.0,QL5
