fitness,archivo
294.0,BCL1
305.0,BCL1
297.0,BCL1
298.0,BCL1
267.0,BCL1
280.0,BCL1
278.0,BCL1
258.0,BCL1
276.0,BCL1
274.0,BCL1
274.0,BCL1
302.0,BCL1
267.0,BCL1
274.0,BCL1
247.0,BCL1
239.0,BCL1
261.0,BCL1
305.0,BCL1
268.0,BCL1
262.0,BCL1
277.0,BCL1
285.0,BCL1
276.0,BCL1
274.0,BCL1
244.0,BCL1
268.0,BCL1
298.0,BCL1
244.0,BCL1
230.0,QL1
235.0,QL1
234.0,QL1
234.0,QL1
237.0,QL1
235.0,QL1
230.0,QL1
228.0,QL1
235.0,QL1
236.0,QL1
230.0,QL1
235.0,QL1
238.0,QL1
228.0,QL1
235.0,QL2
235.0,QL2
233.0,QL2
235.0,QL2
237.0,QL2
237.0,QL2
229.0,QL2
234.0,QL2
233.0,QL2
233.0,QL2
235.0,QL2
236.0,QL2
230.0,QL2
233.0,QL2
234.0,QL3
234.0,QL3
233.0,QL3
237.0,QL3
235.0,QL3
234.0,QL3
229.0,QL3
234.0,QL3
232.0,QL3
234.0,QL3
232.0,QL3
233.0,QL3
232.0,QL3
230.0,QL3
229.0,QL4
235.0,QL4
232.0,QL4
231.0,QL4
235.0,QL4
231.0,QL4
229.0,QL4
227.0,QL4
236.0,QL4
237.0,QL4
237.0,QL4
239.0,QL4
231.0,QL4
228.0,QL4
234.0,QL5
234.0,QL5
232.0,QL5
237.0,QL5
234.0,QL5
235.0,QL5
227.0,QL5
231.0,QL5
237.0,QL5
234.0,QL5
235.0,QL5
231.0,QL5
233.0,QL5
