fitness,archivo
81.0,BCL1
108.0,BCL1
90.0,BCL1
101.0,BCL1
127.0,BCL1
122.0,BCL1
106.0,BCL1
80.0,BCL1
94.0,BCL1
104.0,BCL1
133.0,BCL1
97.0,BCL1
85.0,BCL1
137.0,BCL1
129.0,BCL1
103.0,BCL1
96.0,BCL1
90.0,BCL1
100.0,BCL1
121.0,BCL1
87.0,BCL1
102.0,BCL1
89.0,BCL1
100.0,BCL1
78.0,BCL1
97.0,BCL1
122.0,BCL1
97.0,BCL1
71.0,QL1
71.0,QL1
70.0,QL1
69.0,QL1
71.0,QL1
70.0,QL1
69.0,QL1
69.0,QL1
71.0,QL1
69.0,QL1
70.0,QL1
70.0,QL1
70.0,QL1
69.0,QL1
69.0,QL2
70.0,QL2
70.0,QL2
70.0,QL2
70.0,QL2
69.0,QL2
70.0,QL2
70.0,QL2
70.0,QL2
69.0,QL2
69.0,QL2
71.0,QL2
69.0,QL2
69.0,QL2
69.0,QL3
69.0,QL3
69.0,QL3
70.0,QL3
71.0,QL3
71.0,QL3
68.0,QL3
70.0,QL3
69.0,QL3
70.0,QL3
70.0,QL3
70.0,QL3
69.0,QL4
71.0,QL4
70.0,QL4
71.0,QL4
70.0,QL4
70.0,QL4
70.0,QL4
72.0,QL4
70.0,QL4
70.0,QL4
71.0,QL4
70.0,QL5
70.0,QL5
71.0,QL5
71.0,QL5
70.0,QL5
70.0,QL5
68.0,QL5
70.0,QL5
68.0,QL5
70.0,QL5
71.0,QL5
69.0,QL5
70.0,QL5
69.0,QL5
